Zone_ID,Year,Month,Day,Week,Hour,Predict_HireCount,Temp
1,2019,2,4,Mon,22,0,5.0
1,2019,2,4,Mon,22,0,15.0
1,2019,2,4,Mon,22,0,25.0
1,2019,2,4,Mon,22,0,35.0
2,2019,2,4,Mon,22,0,5.0
2,2019,2,4,Mon,22,0,15.0
2,2019,2,4,Mon,22,0,25.0
2,2019,2,4,Mon,22,0,35.0
3,2019,2,4,Mon,22,39,5.0
3,2019,2,4,Mon,22,38,15.0
3,2019,2,4,Mon,22,38,25.0
3,2019,2,4,Mon,22,38,35.0
4,2019,2,4,Mon,22,4,5.0
4,2019,2,4,Mon,22,3,15.0
4,2019,2,4,Mon,22,3,25.0
4,2019,2,4,Mon,22,3,35.0
5,2019,2,4,Mon,22,71,5.0
5,2019,2,4,Mon,22,69,15.0
5,2019,2,4,Mon,22,69,25.0
5,2019,2,4,Mon,22,71,35.0
6,2019,2,4,Mon,22,0,5.0
6,2019,2,4,Mon,22,0,15.0
6,2019,2,4,Mon,22,0,25.0
6,2019,2,4,Mon,22,0,35.0
7,2019,2,4,Mon,22,0,5.0
7,2019,2,4,Mon,22,0,15.0
7,2019,2,4,Mon,22,0,25.0
7,2019,2,4,Mon,22,0,35.0
8,2019,2,4,Mon,22,21,5.0
8,2019,2,4,Mon,22,22,15.0
8,2019,2,4,Mon,22,23,25.0
8,2019,2,4,Mon,22,25,35.0
9,2019,2,4,Mon,22,14,5.0
9,2019,2,4,Mon,22,15,15.0
9,2019,2,4,Mon,22,15,25.0
9,2019,2,4,Mon,22,16,35.0
10,2019,2,4,Mon,22,26,5.0
10,2019,2,4,Mon,22,27,15.0
10,2019,2,4,Mon,22,28,25.0
10,2019,2,4,Mon,22,29,35.0
11,2019,2,4,Mon,22,0,5.0
11,2019,2,4,Mon,22,0,15.0
11,2019,2,4,Mon,22,0,25.0
11,2019,2,4,Mon,22,0,35.0
12,2019,2,4,Mon,22,0,5.0
12,2019,2,4,Mon,22,0,15.0
12,2019,2,4,Mon,22,0,25.0
12,2019,2,4,Mon,22,0,35.0
13,2019,2,4,Mon,22,26,5.0
13,2019,2,4,Mon,22,26,15.0
13,2019,2,4,Mon,22,26,25.0
13,2019,2,4,Mon,22,27,35.0
14,2019,2,4,Mon,22,19,5.0
14,2019,2,4,Mon,22,20,15.0
14,2019,2,4,Mon,22,20,25.0
14,2019,2,4,Mon,22,20,35.0
15,2019,2,4,Mon,22,24,5.0
15,2019,2,4,Mon,22,23,15.0
15,2019,2,4,Mon,22,23,25.0
15,2019,2,4,Mon,22,24,35.0
16,2019,2,4,Mon,22,0,5.0
16,2019,2,4,Mon,22,0,15.0
16,2019,2,4,Mon,22,0,25.0
16,2019,2,4,Mon,22,0,35.0
17,2019,2,4,Mon,22,0,5.0
17,2019,2,4,Mon,22,0,15.0
17,2019,2,4,Mon,22,0,25.0
17,2019,2,4,Mon,22,0,35.0
18,2019,2,4,Mon,22,3,5.0
18,2019,2,4,Mon,22,4,15.0
18,2019,2,4,Mon,22,4,25.0
18,2019,2,4,Mon,22,4,35.0
19,2019,2,4,Mon,22,17,5.0
19,2019,2,4,Mon,22,17,15.0
19,2019,2,4,Mon,22,17,25.0
19,2019,2,4,Mon,22,18,35.0
20,2019,2,4,Mon,22,18,5.0
20,2019,2,4,Mon,22,18,15.0
20,2019,2,4,Mon,22,19,25.0
20,2019,2,4,Mon,22,20,35.0
21,2019,2,4,Mon,22,0,5.0
21,2019,2,4,Mon,22,0,15.0
21,2019,2,4,Mon,22,0,25.0
21,2019,2,4,Mon,22,0,35.0
22,2019,2,4,Mon,22,0,5.0
22,2019,2,4,Mon,22,0,15.0
22,2019,2,4,Mon,22,0,25.0
22,2019,2,4,Mon,22,0,35.0
23,2019,2,4,Mon,22,0,5.0
23,2019,2,4,Mon,22,0,15.0
23,2019,2,4,Mon,22,0,25.0
23,2019,2,4,Mon,22,0,35.0
24,2019,2,4,Mon,22,16,5.0
24,2019,2,4,Mon,22,16,15.0
24,2019,2,4,Mon,22,17,25.0
24,2019,2,4,Mon,22,17,35.0
25,2019,2,4,Mon,22,12,5.0
25,2019,2,4,Mon,22,13,15.0
25,2019,2,4,Mon,22,13,25.0
25,2019,2,4,Mon,22,14,35.0
