Zone_ID,Year,Month,Day,Week,Hour,Predict_HireCount,Temp
1,2019,3,7,Thu,18,0,5.0
1,2019,3,7,Thu,18,0,15.0
1,2019,3,7,Thu,18,0,25.0
1,2019,3,7,Thu,18,0,35.0
2,2019,3,7,Thu,18,0,5.0
2,2019,3,7,Thu,18,0,15.0
2,2019,3,7,Thu,18,0,25.0
2,2019,3,7,Thu,18,0,35.0
3,2019,3,7,Thu,18,117,5.0
3,2019,3,7,Thu,18,119,15.0
3,2019,3,7,Thu,18,120,25.0
3,2019,3,7,Thu,18,122,35.0
4,2019,3,7,Thu,18,18,5.0
4,2019,3,7,Thu,18,19,15.0
4,2019,3,7,Thu,18,19,25.0
4,2019,3,7,Thu,18,19,35.0
5,2019,3,7,Thu,18,175,5.0
5,2019,3,7,Thu,18,173,15.0
5,2019,3,7,Thu,18,172,25.0
5,2019,3,7,Thu,18,170,35.0
6,2019,3,7,Thu,18,0,5.0
6,2019,3,7,Thu,18,0,15.0
6,2019,3,7,Thu,18,0,25.0
6,2019,3,7,Thu,18,0,35.0
7,2019,3,7,Thu,18,0,5.0
7,2019,3,7,Thu,18,0,15.0
7,2019,3,7,Thu,18,0,25.0
7,2019,3,7,Thu,18,0,35.0
8,2019,3,7,Thu,18,109,5.0
8,2019,3,7,Thu,18,110,15.0
8,2019,3,7,Thu,18,111,25.0
8,2019,3,7,Thu,18,113,35.0
9,2019,3,7,Thu,18,105,5.0
9,2019,3,7,Thu,18,105,15.0
9,2019,3,7,Thu,18,104,25.0
9,2019,3,7,Thu,18,104,35.0
10,2019,3,7,Thu,18,74,5.0
10,2019,3,7,Thu,18,75,15.0
10,2019,3,7,Thu,18,76,25.0
10,2019,3,7,Thu,18,78,35.0
11,2019,3,7,Thu,18,0,5.0
11,2019,3,7,Thu,18,0,15.0
11,2019,3,7,Thu,18,0,25.0
11,2019,3,7,Thu,18,0,35.0
12,2019,3,7,Thu,18,0,5.0
12,2019,3,7,Thu,18,0,15.0
12,2019,3,7,Thu,18,0,25.0
12,2019,3,7,Thu,18,0,35.0
13,2019,3,7,Thu,18,74,5.0
13,2019,3,7,Thu,18,74,15.0
13,2019,3,7,Thu,18,73,25.0
13,2019,3,7,Thu,18,72,35.0
14,2019,3,7,Thu,18,62,5.0
14,2019,3,7,Thu,18,61,15.0
14,2019,3,7,Thu,18,61,25.0
14,2019,3,7,Thu,18,61,35.0
15,2019,3,7,Thu,18,72,5.0
15,2019,3,7,Thu,18,73,15.0
15,2019,3,7,Thu,18,74,25.0
15,2019,3,7,Thu,18,76,35.0
16,2019,3,7,Thu,18,0,5.0
16,2019,3,7,Thu,18,0,15.0
16,2019,3,7,Thu,18,0,25.0
16,2019,3,7,Thu,18,0,35.0
17,2019,3,7,Thu,18,0,5.0
17,2019,3,7,Thu,18,0,15.0
17,2019,3,7,Thu,18,0,25.0
17,2019,3,7,Thu,18,0,35.0
18,2019,3,7,Thu,18,11,5.0
18,2019,3,7,Thu,18,12,15.0
18,2019,3,7,Thu,18,12,25.0
18,2019,3,7,Thu,18,12,35.0
19,2019,3,7,Thu,18,39,5.0
19,2019,3,7,Thu,18,39,15.0
19,2019,3,7,Thu,18,40,25.0
19,2019,3,7,Thu,18,41,35.0
20,2019,3,7,Thu,18,48,5.0
20,2019,3,7,Thu,18,51,15.0
20,2019,3,7,Thu,18,53,25.0
20,2019,3,7,Thu,18,56,35.0
21,2019,3,7,Thu,18,0,5.0
21,2019,3,7,Thu,18,0,15.0
21,2019,3,7,Thu,18,0,25.0
21,2019,3,7,Thu,18,0,35.0
22,2019,3,7,Thu,18,0,5.0
22,2019,3,7,Thu,18,0,15.0
22,2019,3,7,Thu,18,0,25.0
22,2019,3,7,Thu,18,0,35.0
23,2019,3,7,Thu,18,0,5.0
23,2019,3,7,Thu,18,0,15.0
23,2019,3,7,Thu,18,0,25.0
23,2019,3,7,Thu,18,0,35.0
24,2019,3,7,Thu,18,33,5.0
24,2019,3,7,Thu,18,32,15.0
24,2019,3,7,Thu,18,31,25.0
24,2019,3,7,Thu,18,31,35.0
25,2019,3,7,Thu,18,32,5.0
25,2019,3,7,Thu,18,33,15.0
25,2019,3,7,Thu,18,35,25.0
25,2019,3,7,Thu,18,36,35.0
