Zone_ID,Year,Month,Day,Week,Hour,Predict_HireCount,Temp
1,2019,1,25,Fri,18,1,5.0
1,2019,1,25,Fri,18,1,15.0
1,2019,1,25,Fri,18,1,25.0
1,2019,1,25,Fri,18,1,35.0
2,2019,1,25,Fri,18,0,5.0
2,2019,1,25,Fri,18,0,15.0
2,2019,1,25,Fri,18,0,25.0
2,2019,1,25,Fri,18,0,35.0
3,2019,1,25,Fri,18,112,5.0
3,2019,1,25,Fri,18,109,15.0
3,2019,1,25,Fri,18,102,25.0
3,2019,1,25,Fri,18,94,35.0
4,2019,1,25,Fri,18,14,5.0
4,2019,1,25,Fri,18,14,15.0
4,2019,1,25,Fri,18,14,25.0
4,2019,1,25,Fri,18,14,35.0
5,2019,1,25,Fri,18,163,5.0
5,2019,1,25,Fri,18,159,15.0
5,2019,1,25,Fri,18,151,25.0
5,2019,1,25,Fri,18,142,35.0
6,2019,1,25,Fri,18,0,5.0
6,2019,1,25,Fri,18,0,15.0
6,2019,1,25,Fri,18,0,25.0
6,2019,1,25,Fri,18,0,35.0
7,2019,1,25,Fri,18,0,5.0
7,2019,1,25,Fri,18,0,15.0
7,2019,1,25,Fri,18,0,25.0
7,2019,1,25,Fri,18,0,35.0
8,2019,1,25,Fri,18,105,5.0
8,2019,1,25,Fri,18,102,15.0
8,2019,1,25,Fri,18,94,25.0
8,2019,1,25,Fri,18,86,35.0
9,2019,1,25,Fri,18,93,5.0
9,2019,1,25,Fri,18,91,15.0
9,2019,1,25,Fri,18,85,25.0
9,2019,1,25,Fri,18,76,35.0
10,2019,1,25,Fri,18,74,5.0
10,2019,1,25,Fri,18,70,15.0
10,2019,1,25,Fri,18,64,25.0
10,2019,1,25,Fri,18,57,35.0
11,2019,1,25,Fri,18,0,5.0
11,2019,1,25,Fri,18,0,15.0
11,2019,1,25,Fri,18,0,25.0
11,2019,1,25,Fri,18,0,35.0
12,2019,1,25,Fri,18,0,5.0
12,2019,1,25,Fri,18,0,15.0
12,2019,1,25,Fri,18,0,25.0
12,2019,1,25,Fri,18,0,35.0
13,2019,1,25,Fri,18,67,5.0
13,2019,1,25,Fri,18,66,15.0
13,2019,1,25,Fri,18,64,25.0
13,2019,1,25,Fri,18,60,35.0
14,2019,1,25,Fri,18,57,5.0
14,2019,1,25,Fri,18,56,15.0
14,2019,1,25,Fri,18,53,25.0
14,2019,1,25,Fri,18,49,35.0
15,2019,1,25,Fri,18,72,5.0
15,2019,1,25,Fri,18,70,15.0
15,2019,1,25,Fri,18,65,25.0
15,2019,1,25,Fri,18,58,35.0
16,2019,1,25,Fri,18,0,5.0
16,2019,1,25,Fri,18,0,15.0
16,2019,1,25,Fri,18,0,25.0
16,2019,1,25,Fri,18,0,35.0
17,2019,1,25,Fri,18,0,5.0
17,2019,1,25,Fri,18,0,15.0
17,2019,1,25,Fri,18,0,25.0
17,2019,1,25,Fri,18,0,35.0
18,2019,1,25,Fri,18,12,5.0
18,2019,1,25,Fri,18,12,15.0
18,2019,1,25,Fri,18,12,25.0
18,2019,1,25,Fri,18,12,35.0
19,2019,1,25,Fri,18,36,5.0
19,2019,1,25,Fri,18,36,15.0
19,2019,1,25,Fri,18,35,25.0
19,2019,1,25,Fri,18,33,35.0
20,2019,1,25,Fri,18,47,5.0
20,2019,1,25,Fri,18,48,15.0
20,2019,1,25,Fri,18,47,25.0
20,2019,1,25,Fri,18,44,35.0
21,2019,1,25,Fri,18,0,5.0
21,2019,1,25,Fri,18,0,15.0
21,2019,1,25,Fri,18,0,25.0
21,2019,1,25,Fri,18,0,35.0
22,2019,1,25,Fri,18,0,5.0
22,2019,1,25,Fri,18,0,15.0
22,2019,1,25,Fri,18,0,25.0
22,2019,1,25,Fri,18,0,35.0
23,2019,1,25,Fri,18,0,5.0
23,2019,1,25,Fri,18,0,15.0
23,2019,1,25,Fri,18,0,25.0
23,2019,1,25,Fri,18,0,35.0
24,2019,1,25,Fri,18,34,5.0
24,2019,1,25,Fri,18,33,15.0
24,2019,1,25,Fri,18,32,25.0
24,2019,1,25,Fri,18,30,35.0
25,2019,1,25,Fri,18,30,5.0
25,2019,1,25,Fri,18,30,15.0
25,2019,1,25,Fri,18,30,25.0
25,2019,1,25,Fri,18,28,35.0
